Ano;Centro de custo;Regional;Estado;Município;Negócio;Unidade;Nome do projeto;Tecnologia;Temas prioritários;Categoria;Tipo;Carry over?;Possibilidade de corte ?;Conta como iniciativa ?;Valor voluntário VC;Valor incentivado/condicionante;Valor contrapartida/alavancado;Valor total;Cadastro GIS;ID GIS;1° monitoramento;3° Monitoramento;PROCX 
2025;4VP642;CN;Amazonas;Manaus;Porto ;CD Manaus;Plano de Relacionamento  - Manaus ;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;15.000,00;0,00;0,00;15.000,00;ok;736;;;736,00
2025;4VP642;SE;São Paulo;Araçariguama;Agregados;Unidade Araçariguama;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;6.000,00;0,00;0,00;6.000,00;OK;763;ok;ok;763,00
2025;4VP642;SE;São Paulo;Barueri;Argamassa;Unidade Barueri;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;5.000,00;0,00;0,00;5.000,00;OK;764;ok;ok;764,00
2025;4VP642;SE;São Paulo;Cajamar;Argamassa;Unidade Cajamar;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;14.000,00;0,00;0,00;14.000,00;ok;765;ok;ok;765,00
2025;4VP642;SE;São Paulo;Itapecerica da Serra;Agregados;Unidade Itapecerica da Serra;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;16.000,00;0,00;0,00;16.000,00;ok;766;ok;ok;766,00
2025;4VP642;SE;São Paulo;Itapeva;Cales e insumos agrícolas;Unidade Itapeva;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;9.000,00;0,00;0,00;9.000,00;ok;767;ok;ok;767,00
2025;4VP642;SE;Minas Gerais;Itaú de Minas;Cimentos;Unidade Itaú de Minas;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;15.000,00;0,00;0,00;15.000,00;ok;768;ok;ok;768,00
2025;4VP642;SE;São Paulo;Limeira;Argamassa;Unidade Limeira;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;5.000,00;0,00;0,00;5.000,00;ok;769;ok;ok;769,00
2025;4VP642;SE;Rio de Janeiro;Cantagalo;Cimentos;Unidade Rio Negro;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;18.000,00;0,00;0,00;18.000,00;OK;770;ok;ok;770,00
2025;4VP642;SE;São Paulo;Salto de Pirapora;Cimentos;Unidade Salto de Pirapora;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;19.000,00;0,00;0,00;19.000,00;OK;771;ok;ok;771,00
2025;4VP642;SE;Rio de Janeiro;Rio de Janeiro;Moagem;Unidade Santa Cruz;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;7.000,00;0,00;0,00;7.000,00;OK;772;ok;ok;772,00
2025;4VP642;SE;São Paulo;Votorantim;Cimentos;Unidade Santa Helena;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;5.000,00;0,00;0,00;5.000,00;OK;773;ok;ok;773,00
2025;4VP642;SE;São Paulo;Santa Isabel;Agregados;Unidade Santa Isabel;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;8.000,00;0,00;0,00;8.000,00;ok;774;ok;ok;774,00
2025;4VP642;SE;São Paulo;Itapecerica da Serra;Agregados;Unidade Itapecerica da Serra;Conselho Comunitário;Conselho Comunitário;Engajamento comunitário;Desenvolvimento local;Local;Sim;Não;1;62.000,00;0,00;0,00;62.000,00;ok;776;;ok;776,00
2025;4VP642;SE;São Paulo;Salto de Pirapora;Cimentos;Unidade Salto de Pirapora;Conselho Comunitário;Conselho Comunitário;Engajamento comunitário;Desenvolvimento local;Local;Sim;Não;1;60.000,00;0,00;0,00;60.000,00;ok;778;ok;ok;778,00
2025;4VP642;SE;São Paulo;Votorantim;Cimentos;Unidade Santa Helena;Evoluir - Mulheres;Qualificação de mão de obra;Educação profissionalizante;Conexão com negócio;Local;Não;Sim;1;38.000,00;0,00;0,00;38.000,00;ok;780;ok;ok;780,00
2025;4VP642;SE;São Paulo;Bauru;Centro de Distribuição;CD Bauru;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;2.000,00;0,00;0,00;2.000,00;ok;782,00;;;782,00
2025;4VP642;SE;São Paulo;Embu das Artes;Centro de Distribuição;CD Embu;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Sim;1;2.000,00;0,00;0,00;2.000,00;ok;782,00;;;782,00
2025;4VP642;SE;São Paulo;Osasco;Centro de Distribuição;CD Osasco;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Sim;1;2.000,00;0,00;0,00;2.000,00;ok;782,00;;;782,00
2025;4VP642;SE;Rio de Janeiro;Rio de Janeiro;Centro de Distribuição;CD Rio;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;2.000,00;0,00;0,00;2.000,00;ok;782,00;;;782,00
2025;4VP642;SE;São Paulo;Campinas;Centro de Distribuição;CD Uberlândia;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Sim;1;2.000,00;0,00;0,00;2.000,00;ok;782,00;;;782,00
2025;4VP642;SE;São Paulo;São Paulo;Concreto;Filial ABC;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Não;Não;1;2.000,00;0,00;0,00;2.000,00;ok;783,00;;;783,00
2025;4VP642;SE;São Paulo;Atibaia;Concreto;Filial Atibaia;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Sim;1;2.000,00;0,00;0,00;2.000,00;ok;783,00;;;783,00
